id,date,opponent,result,assists,year
22101220,04-10-2022,LAL @ DEN,W,26,2021
22101211,04-08-2022,LAL vs. OKC,W,23,2021
22101202,04-07-2022,LAL @ GSW,L,14,2021
22101189,04-05-2022,LAL @ PHX,L,22,2021
22101168,04-03-2022,LAL vs. DEN,L,31,2021
22101160,04-01-2022,LAL vs. NOP,L,24,2021
22101150,03-31-2022,LAL @ UTA,L,18,2021
22101134,03-29-2022,LAL @ DAL,L,20,2021
22101119,03-27-2022,LAL @ NOP,L,26,2021
22101093,03-23-2022,LAL vs. PHI,L,25,2021
22101072,03-21-2022,LAL @ CLE,W,34,2021
22101061,03-19-2022,LAL @ WAS,L,25,2021
22101051,03-18-2022,LAL @ TOR,W,33,2021
22101039,03-16-2022,LAL @ MIN,L,23,2021
22101028,03-14-2022,LAL vs. TOR,L,20,2021
22101019,03-13-2022,LAL @ PHX,L,24,2021
22101004,03-11-2022,LAL vs. WAS,W,25,2021
22100985,03-09-2022,LAL @ HOU,L,25,2021
22100973,03-07-2022,LAL @ SAS,L,19,2021
22100959,03-05-2022,LAL vs. GSW,W,25,2021
22100945,03-03-2022,LAL @ LAC,L,26,2021
22100931,03-01-2022,LAL vs. DAL,L,22,2021
22100919,02-27-2022,LAL vs. NOP,L,15,2021
22100904,02-25-2022,LAL vs. LAC,L,18,2021
22100884,02-16-2022,LAL vs. UTA,W,24,2021
22100854,02-12-2022,LAL @ GSW,L,25,2021
22100829,02-09-2022,LAL @ POR,L,29,2021
22100822,02-08-2022,LAL vs. MIL,L,28,2021
22100799,02-05-2022,LAL vs. NYK,W,29,2021
22100786,02-03-2022,LAL @ LAC,L,19,2021
22100781,02-02-2022,LAL vs. POR,W,25,2021
22100751,01-30-2022,LAL @ ATL,L,29,2021
22100735,01-28-2022,LAL @ CHA,L,19,2021
22100733,01-27-2022,LAL @ PHI,L,19,2021
22100718,01-25-2022,LAL @ BKN,W,23,2021
22100700,01-23-2022,LAL @ MIA,L,20,2021
22100685,01-21-2022,LAL @ ORL,W,23,2021
22100680,01-19-2022,LAL vs. IND,L,23,2021
22100665,01-17-2022,LAL vs. UTA,W,15,2021
22100649,01-15-2022,LAL @ DEN,L,21,2021
22100626,01-12-2022,LAL @ SAC,L,25,2021
22100606,01-09-2022,LAL vs. MEM,L,26,2021
22100589,01-07-2022,LAL vs. ATL,W,37,2021
22100566,01-04-2022,LAL vs. SAC,W,24,2021
22100551,01-02-2022,LAL vs. MIN,W,20,2021
22100538,12-31-2021,LAL vs. POR,W,27,2021
22100520,12-29-2021,LAL @ MEM,L,24,2021
22100511,12-28-2021,LAL @ HOU,W,27,2021
22100491,12-25-2021,LAL vs. BKN,L,29,2021
22100487,12-23-2021,LAL vs. SAS,L,21,2021
22100469,12-21-2021,LAL vs. PHX,L,14,2021
22100448,12-19-2021,LAL @ CHI,L,25,2021
22100436,12-17-2021,LAL @ MIN,L,26,2021
22100420,12-15-2021,LAL @ DAL,W,24,2021
22100403,12-12-2021,LAL vs. ORL,W,24,2021
22100389,12-10-2021,LAL @ OKC,W,23,2021
22100380,12-09-2021,LAL @ MEM,L,26,2021
22100365,12-07-2021,LAL vs. BOS,W,25,2021
22100341,12-03-2021,LAL vs. LAC,L,28,2021
22100318,11-30-2021,LAL @ SAC,W,21,2021
22100304,11-28-2021,LAL vs. DET,W,32,2021
22100291,11-26-2021,LAL vs. SAC,L,32,2021
22100268,11-24-2021,LAL @ IND,W,20,2021
22100264,11-23-2021,LAL @ NYK,L,23,2021
22100249,11-21-2021,LAL @ DET,W,29,2021
22100232,11-19-2021,LAL @ BOS,L,20,2021
22100219,11-17-2021,LAL @ MIL,L,24,2021
22100209,11-15-2021,LAL vs. CHI,L,19,2021
22100192,11-14-2021,LAL vs. SAS,W,28,2021
22100184,11-12-2021,LAL vs. MIN,L,17,2021
22100170,11-10-2021,LAL vs. MIA,W,26,2021
22100154,11-08-2021,LAL vs. CHA,W,30,2021
22100138,11-06-2021,LAL @ POR,L,20,2021
22100123,11-04-2021,LAL vs. OKC,L,22,2021
22100107,11-02-2021,LAL vs. HOU,W,26,2021
22100093,10-31-2021,LAL vs. HOU,W,22,2021
22100077,10-29-2021,LAL vs. CLE,W,24,2021
22100061,10-27-2021,LAL @ OKC,L,29,2021
22100053,10-26-2021,LAL @ SAS,W,20,2021
22100040,10-24-2021,LAL vs. MEM,W,29,2021
22100025,10-22-2021,LAL vs. PHX,L,25,2021
22100002,10-19-2021,LAL vs. GSW,L,21,2021
22201228,04-09-2023,LAL vs. UTA,W,28,2022
22201212,04-07-2023,LAL vs. PHX,W,25,2022
22201196,04-05-2023,LAL @ LAC,L,27,2022
22201186,04-04-2023,LAL @ UTA,W,27,2022
22201171,04-02-2023,LAL @ HOU,W,36,2022
22201157,03-31-2023,LAL @ MIN,W,28,2022
22201140,03-29-2023,LAL @ CHI,W,22,2022
22201114,03-26-2023,LAL vs. CHI,L,24,2022
22201106,03-24-2023,LAL vs. OKC,W,20,2022
22201092,03-22-2023,LAL vs. PHX,W,27,2022
22201070,03-19-2023,LAL vs. ORL,W,25,2022
22201054,03-17-2023,LAL vs. DAL,L,23,2022
22201038,03-15-2023,LAL @ HOU,L,21,2022
22201030,03-14-2023,LAL @ NOP,W,24,2022
22201019,03-12-2023,LAL vs. NYK,L,24,2022
22201003,03-10-2023,LAL vs. TOR,W,28,2022
22200984,03-07-2023,LAL vs. MEM,W,27,2022
22200964,03-05-2023,LAL vs. GSW,W,29,2022
22200955,03-03-2023,LAL vs. MIN,L,23,2022
22200940,03-01-2023,LAL @ OKC,W,22,2022
22200927,02-28-2023,LAL @ MEM,L,22,2022
22200913,02-26-2023,LAL @ DAL,W,25,2022
22200893,02-23-2023,LAL vs. GSW,W,30,2022
22200882,02-15-2023,LAL vs. NOP,W,32,2022
22200867,02-13-2023,LAL @ POR,L,24,2022
22200853,02-11-2023,LAL @ GSW,W,19,2022
22200834,02-09-2023,LAL vs. MIL,L,23,2022
22200821,02-07-2023,LAL vs. OKC,L,27,2022
22200798,02-04-2023,LAL @ NOP,L,30,2022
22200778,02-02-2023,LAL @ IND,W,29,2022
22200765,01-31-2023,LAL @ NYK,W,29,2022
22200757,01-30-2023,LAL @ BKN,L,24,2022
22200749,01-28-2023,LAL @ BOS,L,30,2022
22200729,01-25-2023,LAL vs. SAS,W,25,2022
22200719,01-24-2023,LAL vs. LAC,L,21,2022
22200705,01-22-2023,LAL @ POR,W,23,2022
22200690,01-20-2023,LAL vs. MEM,W,24,2022
22200677,01-18-2023,LAL vs. SAC,L,26,2022
22200664,01-16-2023,LAL vs. HOU,W,23,2022
22200655,01-15-2023,LAL vs. PHI,L,28,2022
22200630,01-12-2023,LAL vs. DAL,L,24,2022
22200609,01-09-2023,LAL @ DEN,L,20,2022
22200595,01-07-2023,LAL @ SAC,W,26,2022
22200590,01-06-2023,LAL vs. ATL,W,33,2022
22200574,01-04-2023,LAL vs. MIA,W,20,2022
22200551,01-02-2023,LAL @ CHA,W,26,2022
22200530,12-30-2022,LAL @ ATL,W,34,2022
22200518,12-28-2022,LAL @ MIA,L,25,2022
22200505,12-27-2022,LAL @ ORL,W,32,2022
22200494,12-25-2022,LAL @ DAL,L,18,2022
22200492,12-23-2022,LAL vs. CHA,L,27,2022
22200475,12-21-2022,LAL @ SAC,L,25,2022
22200459,12-19-2022,LAL @ PHX,L,13,2022
22200451,12-18-2022,LAL vs. WAS,W,29,2022
22200437,12-16-2022,LAL vs. DEN,W,29,2022
22200413,12-13-2022,LAL vs. BOS,L,23,2022
22200396,12-11-2022,LAL @ DET,W,31,2022
22200382,12-09-2022,LAL @ PHI,L,29,2022
22200366,12-07-2022,LAL @ TOR,L,16,2022
22200360,12-06-2022,LAL @ CLE,L,16,2022
22200349,12-04-2022,LAL @ WAS,W,34,2022
22200331,12-02-2022,LAL @ MIL,W,32,2022
22200324,11-30-2022,LAL vs. POR,W,28,2022
22200308,11-28-2022,LAL vs. IND,L,23,2022
22200288,11-26-2022,LAL @ SAS,W,25,2022
22200282,11-25-2022,LAL @ SAS,W,28,2022
22200259,11-22-2022,LAL @ PHX,L,19,2022
22200247,11-20-2022,LAL vs. SAS,W,29,2022
22200234,11-18-2022,LAL vs. DET,W,29,2022
22200198,11-13-2022,LAL vs. BKN,W,25,2022
22200183,11-11-2022,LAL vs. SAC,L,22,2022
22200170,11-09-2022,LAL @ LAC,L,26,2022
22200157,11-07-2022,LAL @ UTA,L,15,2022
22200140,11-06-2022,LAL vs. CLE,L,24,2022
22200131,11-04-2022,LAL vs. UTA,L,22,2022
22200117,11-02-2022,LAL vs. NOP,W,30,2022
22200095,10-30-2022,LAL vs. DEN,W,24,2022
22200076,10-28-2022,LAL @ MIN,L,20,2022
22200064,10-26-2022,LAL @ DEN,L,25,2022
22200037,10-23-2022,LAL vs. POR,L,26,2022
22200016,10-20-2022,LAL vs. LAC,L,23,2022
22200002,10-18-2022,LAL @ GSW,L,23,2022
